model_id,display_name,provider,market_status,serving_mode,server_country,server_country_status,server_country_source,server_country_source_url,estimation_country_code,estimation_country_status,estimation_country_source,estimation_country_source_url,active_parameters_billion,total_parameters_billion,parameter_value_status,parameter_confidence,parameter_source,parameter_source_url,notes,input_modalities,output_modalities,context_window_tokens,max_output_tokens,vision_support,architecture_notes,modalities_source,modalities_source_url,context_source,context_source_url,architecture_source,architecture_source_url,release_date,release_source,release_source_url,screening_method_id,screening_reference_anchor,screening_effective_active_parameters_billion_low,screening_effective_active_parameters_billion_central,screening_effective_active_parameters_billion_high,screening_per_request_energy_wh_low,screening_per_request_energy_wh_central,screening_per_request_energy_wh_high,screening_per_request_carbon_gco2e_low,screening_per_request_carbon_gco2e_central,screening_per_request_carbon_gco2e_high,screening_per_hour_energy_wh_low,screening_per_hour_energy_wh_central,screening_per_hour_energy_wh_high,screening_per_hour_carbon_gco2e_low,screening_per_hour_carbon_gco2e_central,screening_per_hour_carbon_gco2e_high,screening_notes,training_tokens_estimate_trillion,training_tokens_status,training_tokens_source,training_tokens_source_url,training_regime,training_regime_status,training_regime_source,training_regime_source_url,training_multimodal,training_multimodal_source,training_multimodal_source_url,training_hardware_class_proxy,training_hardware_source,training_hardware_source_url,training_multifactor_method_id,training_multifactor_anchor,training_f_params_low,training_f_params_central,training_f_params_high,training_f_tokens_low,training_f_tokens_central,training_f_tokens_high,training_f_regime_low,training_f_regime_central,training_f_regime_high,training_f_arch_low,training_f_arch_central,training_f_arch_high,training_f_hardware_low,training_f_hardware_central,training_f_hardware_high,training_energy_wh_low,training_energy_wh_central,training_energy_wh_high,training_carbon_tco2e_low,training_carbon_tco2e_central,training_carbon_tco2e_high,training_multifactor_notes
gpt-5.2,GPT-5.2,openai,api,closed,United States or Europe,multi_region,OpenAI data residency and models documentation,https://developers.openai.com/api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,300,300,estimated,low,Project screening family proxy anchored to the GPT-5.2 release line,https://openai.com/index/introducing-gpt-5-2/,Family-level proxy retained for GPT-5.2 because OpenAI documents capabilities but does not publish a separate parameter count for this revision.,"text,image",text,400000,128000,yes,Closed multimodal model; official docs expose capabilities and token limits but not architecture details or parameter count.,GPT-5.2 model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2,GPT-5.2 model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2,GPT-5.2 model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2,2025-12-11,Introducing GPT-5.2 | OpenAI,https://openai.com/index/introducing-gpt-5-2/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,350.8644,396.7636,450.4719,0.4233,0.5085,0.6288,0.1630,0.1958,0.2421,14.6462,17.5941,21.7565,5.6398,6.7747,8.3767,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",6.0000,screening_prior,Project screening prior aligned with Chinchilla (20 training tokens per retained parameter),https://arxiv.org/abs/2203.15556,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,GPT-5.2 model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,1211114146.9175,1676226522.9607,2683673060.4582,353.4228,365.2087,503.8677,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-5.2-pro,GPT-5.2-pro,openai,api,closed,United States or Europe,multi_region,OpenAI data residency and models documentation,https://developers.openai.com/api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,300,300,estimated,low,Project screening family proxy anchored to the GPT-5.2 release line,https://openai.com/index/introducing-gpt-5-2/,Family-level proxy retained for GPT-5.2-pro because OpenAI documents capabilities but does not publish a separate parameter count for this revision.,"text,image",text,400000,128000,yes,Closed multimodal model; official docs expose capabilities and token limits but not architecture details or parameter count.,GPT-5.2-pro model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2-pro,GPT-5.2-pro model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2-pro,GPT-5.2-pro model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2-pro,2025-12-11,Introducing GPT-5.2-pro | OpenAI,https://openai.com/index/introducing-gpt-5-2/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,350.8644,396.7636,450.4719,0.4233,0.5085,0.6288,0.1630,0.1958,0.2421,14.6462,17.5941,21.7565,5.6398,6.7747,8.3767,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",6.0000,screening_prior,Project screening prior aligned with Chinchilla (20 training tokens per retained parameter),https://arxiv.org/abs/2203.15556,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,GPT-5.2-pro model docs | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5.2-pro,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,1211114146.9175,1676226522.9607,2683673060.4582,353.4228,365.2087,503.8677,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-5-mini,GPT-5 mini,openai,api,closed,United States or Europe,multi_region,OpenAI data residency and models documentation,https://platform.openai.com/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,95,95,estimated,low,Artificial Analysis size class for GPT-5 mini (medium = 40B–150B); midpoint used as screening estimate,https://artificialanalysis.ai/models/gpt-5-mini-medium,Derived midpoint estimate from the model's documented medium size class because OpenAI does not publish the parameter count.,"text,image",text,400000,128000,yes,Closed model; official docs expose capabilities and token limits but not architecture details or parameter count.,GPT-5 mini Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-mini,GPT-5 mini Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-mini,GPT-5 mini Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-mini,2025-08-07,Introducing GPT-5 for developers | OpenAI,https://openai.com/index/introducing-gpt-5-for-developers/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,111.1071,125.6418,142.6494,0.1593,0.1706,0.1880,0.0613,0.0657,0.0724,5.5118,5.9028,6.5048,2.1210,2.2732,2.5050,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",1.9000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,GPT-5 mini Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-mini,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,168088270.7747,168088270.7747,203759900.7892,48.3624,58.0163,95.9237,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-5-nano,GPT-5 nano,openai,api,closed,United States or Europe,multi_region,OpenAI data residency and models documentation,https://platform.openai.com/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,95,95,estimated,low,Artificial Analysis size class for GPT-5 nano (medium = 40B–150B); midpoint used as screening estimate,https://artificialanalysis.ai/models/gpt-5-nano-medium,Derived midpoint estimate from the model's documented medium size class because OpenAI does not publish the parameter count.,"text,image",text,400000,128000,yes,Closed model; official docs expose capabilities and token limits but not architecture details or parameter count.,GPT-5 nano Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-nano,GPT-5 nano Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-nano,GPT-5 nano Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-nano,2025-08-07,Introducing GPT-5 for developers | OpenAI,https://openai.com/index/introducing-gpt-5-for-developers/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,111.1071,125.6418,142.6494,0.1593,0.1706,0.1880,0.0613,0.0657,0.0724,5.5118,5.9028,6.5048,2.1210,2.2732,2.5050,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",1.9000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,GPT-5 nano Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-5-nano,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,168088270.7747,168088270.7747,203759900.7892,48.3624,58.0163,95.9237,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-4o-mini,GPT-4o mini,openai,api,closed,United States,multi_region,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,US,screening_proxy,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,8,8,estimated,low,Internal approximate profile for extrapolation,,OpenAI does not publish a parameter count for GPT-4o mini; the project retains an 8B screening-level proxy for comparative extrapolation.,"text,image",text,128000,16384,yes,"Cost-efficient multimodal small model in the GPT-4o family, exposed through the OpenAI API.",Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini model docs | OpenAI API,https://platform.openai.com/docs/models/gpt-4o-mini,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,2024-07-18,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,9.0695,10.0399,11.1762,0.0130,0.0155,0.0189,0.0050,0.0060,0.0073,0.4498,0.5363,0.6539,0.1730,0.2076,0.2526,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.1600,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,yes,Introducing GPT-4o mini | OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,372879.1165,1063486.2385,5354183.8164,1.1735,2.5739,9.0347,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-oss-120b,GPT-OSS 120B,openai,open_weight,open,Variable by host,self_hosted_variable,OpenAI models documentation,https://platform.openai.com/docs/models,US,comparative_reference,Project reference country for comparable inference estimates,,5.1,117,observed,high,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,Open-weight model; emissions depend on deployment location.,text,text,131072,131072,no,Open-weight MoE model; OpenAI docs state 117B total parameters with 5.1B active parameters per token.,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,2025-08-05,Introducing gpt-oss | OpenAI,https://openai.com/index/introducing-gpt-oss/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,6.2629,7.4302,8.8258,0.0101,0.0116,0.0138,0.0039,0.0045,0.0053,0.3495,0.4014,0.4775,0.1349,0.1557,0.1834,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",2.3400,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,standard_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,0.7000,0.9000,1.1000,0.9500,1.0500,1.1500,222780706.6878,232784136.3908,275098479.5936,73.9351,80.3463,104.8781,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-oss-20b,GPT-OSS 20B,openai,open_weight,open,Variable by host,self_hosted_variable,OpenAI models documentation,https://platform.openai.com/docs/models,US,comparative_reference,Project reference country for comparable inference estimates,,3.6,21,observed,high,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,Open-weight model; emissions depend on deployment location.,text,text,131072,131072,no,Open-weight MoE model; OpenAI docs state 21B total parameters with 3.6B active parameters per token.,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,2025-08-05,Introducing gpt-oss | OpenAI,https://openai.com/index/introducing-gpt-oss/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,4.1250,4.6361,5.2724,0.0059,0.0074,0.0097,0.0023,0.0029,0.0037,0.2041,0.2560,0.3356,0.0796,0.1003,0.1280,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.4200,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,standard_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,0.7000,0.9000,1.1000,0.9500,1.0500,1.1500,4858103.4399,7499291.7049,15546384.2750,1.3057,2.5884,7.3187,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
claude-opus-4.1,Claude Opus 4.1,anthropic,api,closed,Not publicly specified,non_specified,Anthropic models overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,2000,2000,estimated,low,Alan D. Thompson Models Table estimate for Claude Opus 4.1 (2T),https://lifearchitect.ai/models-table/,Third-party estimate; Anthropic does not publish model size.,"text,image",text,200000,32000,yes,Closed model; Anthropic documents multimodal support and token limits but does not publish architecture details or parameter count.,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,2025-08-05,Claude Opus 4.1 | Anthropic,https://www.anthropic.com/news/claude-opus-4-1,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,2295.4638,2562.8968,2875.9463,2.0891,2.9922,4.4045,0.8043,1.1520,1.6957,72.2829,103.5301,152.3957,27.8288,39.8592,58.6712,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",40.0000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,22921531181.6659,74498956576.0293,231694192320.8785,2587.0189,6749.4189,24732.7332,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
claude-sonnet-4,Claude Sonnet 4,anthropic,api,closed,Not publicly specified,non_specified,Anthropic models overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,400,400,estimated,low,Alan D. Thompson Models Table estimate for Claude Sonnet 4.5 (400B) used as family proxy,https://lifearchitect.ai/models-table/,Family proxy used because a separate published estimate for Claude Sonnet 4 was not found.,"text,image",text,200000,64000,yes,Closed model; Anthropic documents multimodal support and token limits but does not publish architecture details or parameter count.,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,2025-05-22,Claude Sonnet product page | Anthropic,https://www.anthropic.com/claude/sonnet,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,459.0928,512.5794,575.1893,0.5319,0.6486,0.8128,0.2048,0.2497,0.3129,18.4037,22.4416,28.1229,7.0861,8.6396,10.8263,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",8.0000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,1891647099.6057,2979958263.0412,5276374802.0815,552.0134,649.2599,990.6553,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
claude-3.5-sonnet,Claude 3.5 Sonnet,anthropic,api,closed,Not publicly specified,non_specified,Anthropic Claude 3.5 Sonnet announcement,https://www.anthropic.com/news/claude-3-5-sonnet,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,175,175,estimated,low,Claude 3.7 Sonnet external estimate reused as a family proxy for Claude 3.5 Sonnet,https://lifearchitect.ai/models-table/,Anthropic documents the model but does not publish a parameter count; the project reuses the closest available Sonnet-family estimate for screening-level extrapolation.,"text,image",text,200000,8192,yes,Closed model; Anthropic documents multimodal support and token limits but does not publish architecture details or parameter count.,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,2024-10-22,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku | Anthropic",https://www.anthropic.com/news/3-5-models-and-computer-use/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,200.8531,224.2535,251.6453,0.2634,0.2957,0.3412,0.1014,0.1139,0.1314,9.1136,10.2312,11.8055,3.5084,3.9409,4.5464,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",3.5000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,525237962.2726,570382636.2852,756195471.8380,124.2724,124.2724,153.2730,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
