record_id,study_key,citation,publication_year,phase,impact_category,metric_name,metric_value,metric_unit,model_or_scope,geography,llm_normalized,model_parameters_normalized,country_normalized,time_scope,system_boundary,data_type,source_locator,source_url,notes
strubell2019_co2_transformer_big,strubell2019,"Strubell, Ganesh, McCallum (2019)",2019,training,carbon,training_emissions,192,lb CO2e,"Transformer (big)",United States,"Transformer (big)",213M,États-Unis,training run,training-focused,calculated,"Table 1, p. 1",https://aclanthology.org/P19-1355/,"Historical NLP baseline; parameter count estimated from the Transformer big configuration in Vaswani et al. (2017)"
strubell2019_co2_tuning_pipeline,strubell2019,"Strubell, Ganesh, McCallum (2019)",2019,training,carbon,training_emissions,78468,lb CO2e,NLP pipeline with tuning,United States,n.d.,n.d.,États-Unis,training workflow,training-focused,calculated,"Table 1, p. 1",https://aclanthology.org/P19-1355/,Historical NLP baseline
strubell2019_co2_nas,strubell2019,"Strubell, Ganesh, McCallum (2019)",2019,training,carbon,training_emissions,626155,lb CO2e,Neural architecture search,United States,n.d.,n.d.,États-Unis,training workflow,training-focused,calculated,"Table 1, p. 1; Table 3, p. 4",https://aclanthology.org/P19-1355/,Historical NLP baseline
luccioni2023_bloom_dynamic,luccioni2023,"Luccioni, Viguier, Ligozat (2023)",2023,training,carbon,training_emissions,24.7,tCO2e,BLOOM 176B,France,BLOOM 176B,176B,France,final training,dynamic consumption only,measured,"Abstract, p. 1",https://www.jmlr.org/papers/v24/23-0069.html,Operational footprint only
luccioni2023_bloom_extended,luccioni2023,"Luccioni, Viguier, Ligozat (2023)",2023,training,carbon,training_emissions,50.5,tCO2e,BLOOM 176B,France,BLOOM 176B,176B,France,final training,extended perimeter including idle and embodied,calculated,"Abstract, p. 1; Table 3, p. 7",https://www.jmlr.org/papers/v24/23-0069.html,Extended system boundary
meta2024_llama8b_emissions,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,carbon,training_emissions,420,tCO2e,Llama 3.1 8B,not specified,Llama 3.1 8B,8B,Non spécifié,family training period,location-based emissions,measured,"Section 'Hardware and Software', table 'Training Location-Based Greenhouse Gas Emissions'",https://huggingface.co/meta-llama/Llama-3.1-405B,"Model card, not peer-reviewed article"
meta2024_llama70b_emissions,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,carbon,training_emissions,2040,tCO2e,Llama 3.1 70B,not specified,Llama 3.1 70B,70B,Non spécifié,family training period,location-based emissions,measured,"Section 'Hardware and Software', table 'Training Location-Based Greenhouse Gas Emissions'",https://huggingface.co/meta-llama/Llama-3.1-405B,"Model card, not peer-reviewed article"
meta2024_llama405b_emissions,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,carbon,training_emissions,8930,tCO2e,Llama 3.1 405B,not specified,Llama 3.1 405B,405B,Non spécifié,family training period,location-based emissions,measured,"Section 'Hardware and Software', table 'Training Location-Based Greenhouse Gas Emissions'",https://huggingface.co/meta-llama/Llama-3.1-405B,"Model card, not peer-reviewed article"
meta2024_llama405b_gpu_hours,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,energy,compute_time,30.84,million GPU-hours,Llama 3.1 405B,not specified,Llama 3.1 405B,405B,Non spécifié,family training period,reported compute,measured,"Section 'Hardware and Software', cumulative compute table",https://huggingface.co/meta-llama/Llama-3.1-405B,H100-80GB
meta2024_llama8b_gpu_hours,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,energy,compute_time,1.46,million GPU-hours,Llama 3.1 8B,not specified,Llama 3.1 8B,8B,Non spécifié,family training period,reported compute,measured,"Section 'Hardware and Software', cumulative compute table",https://huggingface.co/meta-llama/Llama-3.1-405B,H100-80GB
meta2024_llama70b_gpu_hours,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,energy,compute_time,7.0,million GPU-hours,Llama 3.1 70B,not specified,Llama 3.1 70B,70B,Non spécifié,family training period,reported compute,measured,"Section 'Hardware and Software', cumulative compute table",https://huggingface.co/meta-llama/Llama-3.1-405B,H100-80GB
meta2024_llama8b_tokens,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,compute,training_tokens,15,trillion tokens,Llama 3.1 8B,not specified,Llama 3.1 8B,8B,Non spécifié,pretraining,reported data scale,measured,Section 'Training Data',https://huggingface.co/meta-llama/Llama-3.1-405B,Reported as 15T+ pretraining tokens per model
meta2024_llama70b_tokens,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,compute,training_tokens,15,trillion tokens,Llama 3.1 70B,not specified,Llama 3.1 70B,70B,Non spécifié,pretraining,reported data scale,measured,Section 'Training Data',https://huggingface.co/meta-llama/Llama-3.1-405B,Reported as 15T+ pretraining tokens per model
meta2024_llama405b_tokens,meta2024llama,Meta (2024) Llama 3.1 Model Card,2024,training,compute,training_tokens,15,trillion tokens,Llama 3.1 405B,not specified,Llama 3.1 405B,405B,Non spécifié,pretraining,reported data scale,measured,Section 'Training Data',https://huggingface.co/meta-llama/Llama-3.1-405B,Reported as 15T+ pretraining tokens per model
morrison2025_olmo-20m_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,0.3,tCO2e,OLMo 20M,"Texas, United States",OLMo 20M,20M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-60m_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,0.4,tCO2e,OLMo 60M,"Texas, United States",OLMo 60M,60M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-150m_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,1,tCO2e,OLMo 150M,"Texas, United States",OLMo 150M,150M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-300m_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,2,tCO2e,OLMo 300M,"Texas, United States",OLMo 300M,300M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-700m_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,3,tCO2e,OLMo 700M,"Texas, United States",OLMo 700M,700M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-7b-unreleased_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,22,tCO2e,OLMo 7B,"Texas, United States",OLMo 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-1b-3t_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,10,tCO2e,OLMo 1B (3T),"Texas, United States",OLMo 1B (3T),1B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-7b-twin_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,70,tCO2e,OLMo 7B (Twin),"Texas, United States",OLMo 7B (Twin),7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-0724-7b_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,32,tCO2e,OLMo (04|07)24 7B,"Texas, United States",OLMo (04|07)24 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-2-7b_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,52,tCO2e,OLMo 2 7B,"Texas, United States",OLMo 2 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-2-13b_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,101,tCO2e,OLMo 2 13B,"Iowa, United States",OLMo 2 13B,13B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmoe-0924_carbon,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,creation_lifecycle_emissions,18,tCO2e,OLMoE 0924,"Texas, United States",OLMoE 0924,1B active / 7B total,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-20m_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,1,kL,OLMo 20M,"Texas, United States",OLMo 20M,20M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-60m_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,1.6,kL,OLMo 60M,"Texas, United States",OLMo 60M,60M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-150m_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,3.6,kL,OLMo 150M,"Texas, United States",OLMo 150M,150M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-300m_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,5.9,kL,OLMo 300M,"Texas, United States",OLMo 300M,300M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-700m_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,10,kL,OLMo 700M,"Texas, United States",OLMo 700M,700M,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-7b-unreleased_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,87,kL,OLMo 7B,"Texas, United States",OLMo 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-1b-3t_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,39,kL,OLMo 1B (3T),"Texas, United States",OLMo 1B (3T),1B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-7b-twin_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,487,kL,OLMo 7B (Twin),"Texas, United States",OLMo 7B (Twin),7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-0724-7b_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,122,kL,OLMo (04|07)24 7B,"Texas, United States",OLMo (04|07)24 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-2-7b_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,202,kL,OLMo 2 7B,"Texas, United States",OLMo 2 7B,7B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmo-2-13b_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,892,kL,OLMo 2 13B,"Iowa, United States",OLMo 2 13B,13B,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_olmoe-0924_water,morrison2025,Morrison et al. (2025),2025,lifecycle,water,creation_lifecycle_water,70,kL,OLMoE 0924,"Texas, United States",OLMoE 0924,1B active / 7B total,États-Unis,creation lifecycle,hardware plus development plus final runs,calculated,"Table 2, p. 6; cluster locations in Section 3.1, p. 4",https://arxiv.org/abs/2503.05804,Final training run from Table 2; Jupiter (Texas) for all except OLMo 2 13B on Augusta (Iowa)
morrison2025_dev_share,morrison2025,Morrison et al. (2025),2025,lifecycle,carbon,development_share,50,percent,Model development relative contribution,not specified,n.d.,n.d.,Non spécifié,creation lifecycle,development relative to final training,calculated,"Abstract, p. 1",https://arxiv.org/abs/2503.05804,Reported as about 50 percent
morrison2025_power_variation,morrison2025,Morrison et al. (2025),2025,lifecycle,energy,power_utilization_range,15-85,percent of maximum power,Observed training hardware power draw,not specified,n.d.,n.d.,Non spécifié,training observations,observed operating power,measured,"Results section, power discussion",https://arxiv.org/abs/2503.05804,Fluctuating hardware power
epri2024_ai_share,epri2024,EPRI (2024),2024,infrastructure,energy,ai_share_of_datacenter_electricity,10-20,percent,AI applications in data centers,not specified,n.d.,n.d.,Non spécifié,current estimate,report-level estimate,estimated,"APPA relay summary, central paragraph",https://www.publicpower.org/periodical/article/epri-report-examines-power-demand-data-centers-artificial-intelligence,Non-academic relay of a report
epri2024_chatgpt_query,epri2024,EPRI (2024),2024,inference,energy,query_energy,2.9,Wh/query,ChatGPT query,not specified,ChatGPT,n.d.,Non spécifié,current estimate,report-level estimate,estimated,"APPA relay summary, central paragraph",https://www.publicpower.org/periodical/article/epri-report-examines-power-demand-data-centers-artificial-intelligence,Order-of-magnitude estimate
elsworth2025_prompt_energy,elsworth2025,Elsworth et al. (2025),2025,inference,energy,prompt_energy,0.24,Wh/prompt,Gemini Apps median prompt,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Table 2, p. 7",https://arxiv.org/abs/2508.15734,Production measurement on Gemini Apps; paper does not disclose a public model version such as 1.5 Pro or 2.0 Flash
elsworth2025_prompt_carbon,elsworth2025,Elsworth et al. (2025),2025,inference,carbon,prompt_emissions,0.03,gCO2e/prompt,Gemini Apps median prompt,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Table 2, p. 7",https://arxiv.org/abs/2508.15734,Production measurement on Gemini Apps; paper does not disclose a public model version such as 1.5 Pro or 2.0 Flash
elsworth2025_prompt_water,elsworth2025,Elsworth et al. (2025),2025,inference,water,prompt_water,0.26,mL/prompt,Gemini Apps median prompt,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Table 2, p. 7",https://arxiv.org/abs/2508.15734,Production measurement on Gemini Apps; paper does not disclose a public model version such as 1.5 Pro or 2.0 Flash
elsworth2025_efficiency_energy,elsworth2025,Elsworth et al. (2025),2025,inference,energy,efficiency_gain,33,x reduction,Gemini Apps over 12 months,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,one-year comparison,service-level measurement,measured,"Abstract, p. 1; Section 4.3, pp. 7-8",https://arxiv.org/abs/2508.15734,Energy per prompt reduction on Gemini Apps over one year; model version not disclosed
elsworth2025_efficiency_carbon,elsworth2025,Elsworth et al. (2025),2025,inference,carbon,efficiency_gain,44,x reduction,Gemini Apps over 12 months,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,one-year comparison,service-level measurement,measured,"Abstract, p. 1; Section 4.3, pp. 7-8",https://arxiv.org/abs/2508.15734,Carbon per prompt reduction on Gemini Apps over one year; model version not disclosed
