model_id,display_name,provider,parameter_value_billion,parameter_value_status,parameter_source_audit,parameter_source_audit_note,parameter_source,parameter_source_url
gpt-5.2,GPT-5.2,openai,300,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy anchored to the GPT-5.2 release line,
gpt-5.2-pro,GPT-5.2-pro,openai,300,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy anchored to the GPT-5.2 release line,
gpt-5-mini,GPT-5 mini,openai,95,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Artificial Analysis size-class midpoint retained as screening estimate,https://artificialanalysis.ai/models/gpt-5-mini-medium
gpt-5-nano,GPT-5 nano,openai,95,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Artificial Analysis size-class midpoint retained as screening estimate,https://artificialanalysis.ai/models/gpt-5-nano-medium
gpt-4o-mini,GPT-4o mini,openai,8,estimated,internal_proxy_no_url,The retained parameter value is an internal approximation kept for extrapolation and intentionally has no external source URL.,Internal approximate profile for extrapolation,
gpt-oss-120b,GPT-OSS 120B,openai,117,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b
gpt-oss-20b,GPT-OSS 20B,openai,21,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b
claude-opus-4.1,Claude Opus 4.1,anthropic,2000,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Claude Opus 4.x,
claude-sonnet-4,Claude Sonnet 4,anthropic,400,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Claude Sonnet 4.x,
claude-3.5-sonnet,Claude 3.5 Sonnet,anthropic,175,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
claude-3.7-sonnet,Claude 3.7 Sonnet,anthropic,175,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
claude-3.5-haiku,Claude 3.5 Haiku,anthropic,22,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Artificial Analysis size-class midpoint retained as screening estimate,https://artificialanalysis.ai/models/claude-3-5-haiku
gemini-2.5-pro,Gemini 2.5 Pro,google,200,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
gemini-2.5-flash,Gemini 2.5 Flash,google,80,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party family-level screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,google,30,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party family-level screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
gemini-2.0-flash,Gemini 2.0 Flash,google,30,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
grok-4,Grok 4,xai,600,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
llama-3.1-8b,Llama 3.1 8B,meta,8,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/
llama-3.1-70b,Llama 3.1 70B,meta,70,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/
llama-3.1-405b,Llama 3.1 405B,meta,405,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/
ministral-3b,Ministral 3B,mistral,3,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/
ministral-8b,Ministral 8B,mistral,8,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/
mistral-large,Mistral Large,mistral,123,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/
mistral-small-3.1-24b,Mistral Small 3.1 24B,mistral,24,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/
codestral-22b,Codestral 22B,mistral,22,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/
qwen2.5-7b,Qwen2.5 7B,alibaba,7,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct
qwen2.5-32b,Qwen2.5 32B,alibaba,32,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct
qwen2.5-72b,Qwen2.5 72B,alibaba,72,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct
deepseek-v3,DeepSeek V3,deepseek,671,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,DeepSeek-V3 model card,https://huggingface.co/deepseek-ai/DeepSeek-V3
deepseek-r1,DeepSeek R1,deepseek,671,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,DeepSeek-R1 model card,https://huggingface.co/deepseek-ai/DeepSeek-R1
gpt-3.5-turbo,GPT-3.5 Turbo,openai,175,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Nexos,https://nexos.ai/blog/chatgpt-version-history/
gpt-4,GPT-4,openai,1760,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party parameter estimate from Exploding Topics,https://explodingtopics.com/blog/gpt-parameters
claude-2,Claude 2,anthropic,100,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/
grok-1,Grok 1,xai,314,estimated,derivable_from_cited_source,The cited xAI post publishes 314B total parameters and says 25% of weights are active per token; the retained 78.5B active value is derived from that ratio.,Open Release of Grok-1 | xAI,https://x.ai/blog/grok-os
grok-2,Grok 2,xai,270,estimated,third_party_estimate,The retained value comes from a third-party/open-weight discussion rather than a provider-published parameter disclosure.,Third-party screening estimate from the Grok-2 open-weight config discussion,https://huggingface.co/xai-org/grok-2/discussions/24
megatron-turing-nlg,Megatron-Turing NLG 530B,microsoft,530,documented,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,NVidia & Microsoft announcement,https://www.microsoft.com/en-us/ai/ai-lab-mt-nlg
jurassic-1-jumbo,Jurassic-1 Jumbo,ai21,178,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,AI21 Jurassic-1 announcement,https://www.ai21.com/blog/jurassic-1
gopher-280b,Gopher 280B,deepmind,280,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,DeepMind Gopher paper,https://deepmind.com/blog/article/scaling-language-models-gopher
glam-130b,GLaM 130B,google,130,documented,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Google AI blog,https://ai.googleblog.com/2021/02/glam-sparsely-gated-mixture-of-experts.html
lamda-1,LaMDA 1,google,137,estimated,exact_in_cited_source,The cited Google Research summary explicitly states that the LaMDA family has up to 137B parameters.,LaMDA research paper / Google Research summary,https://research.google/pubs/lamda-language-models-for-dialog-applications/
opt-175b,OPT 175B,meta,175,documented,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,OPT release,https://ai.facebook.com/blog/opt/
gpt-5.4,GPT-5.4,openai,1800,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening frontier-family proxy for GPT-5.x closed models,
gpt-5.4-pro,GPT-5.4-pro,openai,1800,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening frontier-family proxy for GPT-5.x closed models,
gpt-5.4-mini,GPT-5.4 mini,openai,95,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening medium-size proxy anchored to the GPT-5.4 mini release line,
gpt-5.4-nano,GPT-5.4 nano,openai,95,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening medium-size proxy anchored to the GPT-5.4 nano release line,
gpt-5.5,GPT-5.5,openai,2000,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening frontier-family proxy for the GPT-5.5 release line,
gpt-5.5-pro,GPT-5.5-pro,openai,2000,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening frontier-family proxy for the GPT-5.5 release line,
claude-sonnet-4.6,Claude Sonnet 4.6,anthropic,400,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Claude Sonnet 4.x,
claude-opus-4.6,Claude Opus 4.6,anthropic,2000,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Claude Opus 4.x,
claude-opus-4.7,Claude Opus 4.7,anthropic,2000,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Claude Opus 4.x,
claude-mythos-preview,Claude Mythos Preview,anthropic,2600,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project frontier proxy for the Claude Mythos preview line; no public parameter count found,
gemini-3-pro,Gemini 3 Pro Preview,google,220,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Gemini 3 Pro Preview,
gemini-3-flash,Gemini 3 Flash Preview,google,100,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Gemini 3 Flash Preview,
gemini-3.1-pro,Gemini 3.1 Pro Preview,google,240,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Gemini 3.1 Pro Preview,
gemini-3.1-flash-lite,Gemini 3.1 Flash-Lite Preview,google,40,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Gemini 3.1 Flash-Lite Preview,
