model_id,display_name,provider,training_parameters_billion,training_parameters_audit,training_parameters_note,training_parameters_source_url,training_tokens_trillion,training_tokens_audit,training_tokens_note,training_tokens_source_url,training_regime,training_regime_audit,training_regime_note,training_regime_source_url,training_multimodal,training_multimodal_audit,training_multimodal_note,training_multimodal_source_url,training_hardware_class_proxy,training_hardware_audit,training_hardware_note,training_hardware_source_url,overall_audit_status,issue_fields,issue_count
gpt-5.2,GPT-5.2,openai,300,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-2/,6.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.2,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.2-pro,GPT-5.2-pro,openai,300,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-2/,6.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.2-pro,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5-mini,GPT-5 mini,openai,95,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://artificialanalysis.ai/models/gpt-5-mini-medium,1.9000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5-mini,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5-nano,GPT-5 nano,openai,95,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://artificialanalysis.ai/models/gpt-5-nano-medium,1.9000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5-nano,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-4o-mini,GPT-4o mini,openai,8,official_anchor_not_literal,"The provider page anchors the release line, while the numeric parameter count is retained by the project because no exact provider figure is published.",,0.1600,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,yes,directly_supported,The cited OpenAI page explicitly states that GPT-4o mini supports text and vision in the API.,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-oss-120b,GPT-OSS 120B,openai,117,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://developers.openai.com/api/docs/models/gpt-oss-120b,2.3400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-oss-120b,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-oss-20b,GPT-OSS 20B,openai,21,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://developers.openai.com/api/docs/models/gpt-oss-20b,0.4200,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-oss-20b,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-opus-4.1,Claude Opus 4.1,anthropic,2000,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,40.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-sonnet-4,Claude Sonnet 4,anthropic,400,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,8.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-3.5-sonnet,Claude 3.5 Sonnet,anthropic,175,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,3.5000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-3.7-sonnet,Claude 3.7 Sonnet,anthropic,175,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,3.5000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-3.5-haiku,Claude 3.5 Haiku,anthropic,22,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://artificialanalysis.ai/models/claude-3-5-haiku,0.4400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-2.5-pro,Gemini 2.5 Pro,google,200,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,4.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-2.5-flash,Gemini 2.5 Flash,google,80,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,1.6000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,google,30,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,0.6000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-2.0-flash,Gemini 2.0 Flash,google,30,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,0.6000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
