model_id,display_name,provider,active_parameters_billion,review_level,review_class,donor_count,cross_provider,donor_models,donor_providers,quantification_note
gpt-5.2-pro,GPT-5.2-pro,openai,440,low,same_provider_size_tier_prior,3,no,gpt-5.2|gpt-4|gpt-4o,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-5.2 (3000B), GPT-4 (440B), GPT-4o (200B). Retained central active-parameter basis: 440B (low/high prior: 170B - 3450B)."
gpt-4o-mini,GPT-4o mini,openai,200,medium,same_provider_fallback,3,no,gpt-4o|gpt-4|gpt-3.5-turbo,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: GPT-4o (200B), GPT-4 (440B), GPT-3.5 Turbo (175B). Retained central active-parameter basis: 200B (low/high prior: 148.8B - 506B)."
claude-sonnet-4,Claude Sonnet 4,anthropic,175,low,same_provider_family_prior,2,no,claude-3.5-sonnet|claude-3.7-sonnet,anthropic,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Claude 3.5 Sonnet (175B), Claude 3.7 Sonnet (175B). Retained central active-parameter basis: 175B (low/high prior: 148.8B - 201.2B)."
gpt-5.4-pro,GPT-5.4-pro,openai,3000,low,same_provider_size_tier_prior,3,no,gpt-5.2|gpt-5.4|gpt-4,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-5.2 (3000B), GPT-5.4 (3000B), GPT-4 (440B). Retained central active-parameter basis: 3000B (low/high prior: 374B - 3450B)."
gpt-5.4-mini,GPT-5.4 mini,openai,95,low,same_provider_family_prior,2,no,gpt-5-mini|gpt-5-nano,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: GPT-5 mini (95B), GPT-5 nano (95B). Retained central active-parameter basis: 95B (low/high prior: 80.8B - 109.2B)."
gpt-5.4-nano,GPT-5.4 nano,openai,95,low,same_provider_family_prior,2,no,gpt-5-mini|gpt-5-nano,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: GPT-5 mini (95B), GPT-5 nano (95B). Retained central active-parameter basis: 95B (low/high prior: 80.8B - 109.2B)."
gpt-5.5,GPT-5.5,openai,3000,low,same_provider_size_tier_prior,3,no,gpt-5.2|gpt-5.4|gpt-4,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-5.2 (3000B), GPT-5.4 (3000B), GPT-4 (440B). Retained central active-parameter basis: 3000B (low/high prior: 374B - 3450B)."
gpt-5.5-pro,GPT-5.5-pro,openai,3000,low,same_provider_size_tier_prior,3,no,gpt-5.2|gpt-5.4|gpt-4,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-5.2 (3000B), GPT-5.4 (3000B), GPT-4 (440B). Retained central active-parameter basis: 3000B (low/high prior: 374B - 3450B)."
claude-mythos-preview,Claude Mythos Preview,anthropic,5000,low,same_provider_family_prior,2,no,claude-opus-4.6|claude-opus-4.1,anthropic,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Claude Opus 4.6 (5000B), Claude Opus 4.1 (2000B). Retained central active-parameter basis: 5000B (low/high prior: 1700B - 5750B). Central prior floored to the largest same-family frontier donor because the target is a later revision in the same provider family with no direct public parameter disclosure."
gemini-3-flash,Gemini 3 Flash Preview,google,30,medium,single_donor_family_prior,1,no,gemini-2.0-flash,google,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Gemini 2.0 Flash (30B). Retained central active-parameter basis: 30B (low/high prior: 21B - 39B).
gemini-3.1-flash-lite,Gemini 3.1 Flash-Lite Preview,google,22,high,cross_provider_fallback,1,yes,claude-3.5-haiku,anthropic,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same documented size tier across the strict catalog. Donors: Claude 3.5 Haiku (22B). Retained central active-parameter basis: 22B (low/high prior: 15.4B - 28.6B).
grok-4.20-reasoning,Grok 4.20 Reasoning,xai,600,medium,single_donor_family_prior,1,no,grok-4,xai,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Grok 4 (600B). Retained central active-parameter basis: 600B (low/high prior: 420B - 780B). Central prior floored to the largest same-family frontier donor because the target is a later revision in the same provider family with no direct public parameter disclosure.
